name,area,wage,experience,frim,others
客户经理/客户主管（大数据项目）华南,珠江新城,12k-24k,"12k-24k
                        经验不限 / 本科",驰骛科技ChiefClouds,"数据服务,移动互联网 / A轮 / 50-150人"
销售经理（大数据SAAS产品）(J10319),大学城,10k-15k,"10k-15k
                        经验1-3年 / 大专",有米科技,广告营销 / 上市公司 / 150-500人
大数据首席架构师/专家,官洲,45k-87k,"45k-87k
                        经验5-10年 / 本科",联通（广东）产业互联网...,"移动互联网,医疗丨健康 / 不需要融资 / 500-2000人"
数据库工程师/DBA,五山,15k-25k,"15k-25k
                        经验3-5年 / 本科",瑞云网络,"移动互联网,电商 / 不需要融资 / 50-150人"
大数据系统架构师,大石,30k-40k,"30k-40k
                        经验5-10年 / 本科",奥园奥买家,电子商务 / 不需要融资 / 150-500人
数据分析师,天河区,8k-15k,"8k-15k
                        经验1-3年 / 本科",柯内特,数据服务 / 不需要融资 / 50-150人
数据运营顾问-中级-广州,广州东站,6k-9k,"6k-9k
                        经验3-5年 / 本科",觅游信息,"移动互联网,企业服务 / 未融资 / 50-150人"
数据分析实习生岗位,天河区,2k-3k,"2k-3k
                        经验应届毕业生 / 不限",BW,"企业服务,数据服务 / 未融资 / 15-50人"
数据挖掘工程师,岭南,15k-30k,"15k-30k
                        经验3-5年 / 不限",快乐种子,"教育,游戏 / B轮 / 2000人以上"
大数据平台架构师-Hadoop平台方向,新港,15k-30k,"15k-30k
                        经验5-10年 / 本科",大圣科技,"软件开发,数据服务 / 不需要融资 / 150-500人"
大数据开发工程师,海珠区,12k-20k,"12k-20k
                        经验不限 / 本科",万视科技,软件开发 / 不需要融资 / 15-50人
售前解决方案（大数据方向）,海珠区,8k-14k,"8k-14k
                        经验1-3年 / 本科",广东亿迅,通讯电子 / 不需要融资 / 2000人以上
